run_id,case_id,base_case_id,phase,actual_symbol,canonical_symbol,timeframe,period_from,period_to,execution_status,report_artifact_status,total_trades,event_time,classification,regime,spread,spread_bucket,session_bucket,direction,direction_reason,entry_reference_price,outcome_label,limitation,source_file,lookahead_status,lookahead_limitation,lookahead_alignment_rule,lookahead_bar_time,h6_bars_available,h6_mfe,h6_mae,h6_future_high,h6_future_low,h6_future_close,h6_outcome_label,h6_touch_bar,h6_outcome_reason,h12_bars_available,h12_mfe,h12_mae,h12_future_high,h12_future_low,h12_future_close,h12_outcome_label,h12_touch_bar,h12_outcome_reason,h24_bars_available,h24_mfe,h24_mae,h24_future_high,h24_future_low,h24_future_close,h24_outcome_label,h24_touch_bar,h24_outcome_reason,h48_bars_available,h48_mfe,h48_mae,h48_future_high,h48_future_low,h48_future_close,h48_outcome_label,h48_touch_bar,h48_outcome_reason
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.04 09:00:00,POSSIBLE_FIBO_PULLBACK,trend,29.0,NORMAL_SPREAD,LONDON,DIRECTION_UNKNOWN,fibo_pullback_without_clear_ema_direction_context,5160.43,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.04 14:00:00,POSSIBLE_ZONE_REJECTION,trend,30.0,NORMAL_SPREAD,OVERLAP,DIRECTION_UNKNOWN,zone_rejection_without_directional_candle_context,5192.01,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.04 18:00:00,POSSIBLE_FIBO_PULLBACK,breakout,29.0,NORMAL_SPREAD,NEW_YORK,DIRECTION_UNKNOWN,fibo_pullback_without_clear_ema_direction_context,5151.28,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.04 19:00:00,POSSIBLE_FIBO_PULLBACK,breakout,28.0,NORMAL_SPREAD,NEW_YORK,DIRECTION_UNKNOWN,fibo_pullback_without_clear_ema_direction_context,5149.73,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.04 20:00:00,POSSIBLE_FIBO_PULLBACK,trend,27.0,NORMAL_SPREAD,NEW_YORK,DIRECTION_UNKNOWN,fibo_pullback_without_clear_ema_direction_context,5141.03,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.04 21:00:00,POSSIBLE_FIBO_PULLBACK,trend,29.0,NORMAL_SPREAD,NEW_YORK,DIRECTION_UNKNOWN,fibo_pullback_without_clear_ema_direction_context,5133.83,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.04 22:00:00,POSSIBLE_FIBO_PULLBACK,trend,31.0,NORMAL_SPREAD,OTHER,DIRECTION_UNKNOWN,fibo_pullback_without_clear_ema_direction_context,5137.84,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.04 23:00:00,POSSIBLE_FIBO_PULLBACK,trend,28.0,NORMAL_SPREAD,OTHER,DIRECTION_UNKNOWN,fibo_pullback_without_clear_ema_direction_context,5134.67,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.05 11:00:00,POSSIBLE_FIBO_PULLBACK,trend,27.0,NORMAL_SPREAD,LONDON,DIRECTION_UNKNOWN,fibo_pullback_without_clear_ema_direction_context,5165.51,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_20260707_172236,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX_ax_field_verify_20260301_20260308,GOLD_HASH_H1_PAF_FIELD_VERIFY_AX,ax_field_verify_20260301_20260308,GOLD#,GOLD,H1,2026-03-01,2026-03-08,PASS,FOUND,0,2026.03.05 12:00:00,POSSIBLE_FIBO_PULLBACK,trend,27.0,NORMAL_SPREAD,LONDON,DIRECTION_UNKNOWN,fibo_pullback_without_clear_ema_direction_context,5160.91,DIRECTION_MISSING,diagnostic log direction context is unknown,ea_mirror.log,DIRECTION_MISSING,direction_context is missing or unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
