gap_id,previous_timestamp,next_timestamp,delta_hours,missing_hourly_slot_count,first_missing_timestamp,last_missing_timestamp,previous_weekday,next_weekday,scope,structural_pattern,evidence_status,final_adjudication,notes_code
FCG0029,2026-02-11T23:00:00,2026-02-12T01:00:00,2,1,2026-02-12T00:00:00,2026-02-12T00:00:00,WEDNESDAY,THURSDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0030,2026-02-12T23:00:00,2026-02-13T01:00:00,2,1,2026-02-13T00:00:00,2026-02-13T00:00:00,THURSDAY,FRIDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0031,2026-02-13T23:00:00,2026-02-16T01:00:00,50,49,2026-02-14T00:00:00,2026-02-16T00:00:00,FRIDAY,MONDAY,ANALYSIS_WINDOW_INTERNAL,WEEKEND_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0032,2026-02-16T21:00:00,2026-02-17T01:00:00,4,3,2026-02-16T22:00:00,2026-02-17T00:00:00,MONDAY,TUESDAY,ANALYSIS_WINDOW_INTERNAL,EARLY_CLOSE_OR_EXTENDED_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0033,2026-02-17T23:00:00,2026-02-18T01:00:00,2,1,2026-02-18T00:00:00,2026-02-18T00:00:00,TUESDAY,WEDNESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0034,2026-02-18T23:00:00,2026-02-19T01:00:00,2,1,2026-02-19T00:00:00,2026-02-19T00:00:00,WEDNESDAY,THURSDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0035,2026-02-19T23:00:00,2026-02-20T01:00:00,2,1,2026-02-20T00:00:00,2026-02-20T00:00:00,THURSDAY,FRIDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0036,2026-02-20T23:00:00,2026-02-23T01:00:00,50,49,2026-02-21T00:00:00,2026-02-23T00:00:00,FRIDAY,MONDAY,ANALYSIS_WINDOW_INTERNAL,WEEKEND_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0037,2026-02-23T23:00:00,2026-02-24T01:00:00,2,1,2026-02-24T00:00:00,2026-02-24T00:00:00,MONDAY,TUESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
FCG0038,2026-02-24T23:00:00,2026-02-25T01:00:00,2,1,2026-02-25T00:00:00,2026-02-25T00:00:00,TUESDAY,WEDNESDAY,ANALYSIS_WINDOW_INTERNAL,DAILY_BREAK_PATTERN,NO_EXACT_EFFECTIVE_HISTORICAL_COVERAGE,UNVERIFIED_GAP,CURRENT_HASH_BOUND_SESSION_EVIDENCE_NOT_DATED_HISTORICAL_PROOF
