gap_id,calendar_year,day_of_week,previous_bar_timestamp,next_bar_timestamp,elapsed_hours,missing_h1_slots,previous_source_file,next_source_file,original_evidence_status,original_policy_classification,original_fail_closed_required,structural_signature_sha256,requested_primary_evidence_classes,submitted_package_ids,missing_evidence_fields,intake_status
GQ0247,2020,Monday,2020-12-14T23:00:00,2020-12-15T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,c6cb6d143c97092165f7fa92edadd205d16ca9c3594b4a6c7ef8b426eb95522f,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0248,2020,Tuesday,2020-12-15T23:00:00,2020-12-16T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,1921f479b8fcee71b61f6ab56a9e632e31cafbdeece781c0dc498da0ea88e17d,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0249,2020,Wednesday,2020-12-16T23:00:00,2020-12-17T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,cd6030fe05668e3196ee04b5ec77c4dddd7b68eef8b958f8072995fb7ad04a0b,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0250,2020,Thursday,2020-12-17T23:00:00,2020-12-18T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,c1a2dfe523c209f098838cda2ec2406a2c42635d34598a4227d6752a57634fca,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0252,2020,Monday,2020-12-21T23:00:00,2020-12-22T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,c6cb6d143c97092165f7fa92edadd205d16ca9c3594b4a6c7ef8b426eb95522f,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0253,2020,Tuesday,2020-12-22T23:00:00,2020-12-23T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,1921f479b8fcee71b61f6ab56a9e632e31cafbdeece781c0dc498da0ea88e17d,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0254,2020,Wednesday,2020-12-23T23:00:00,2020-12-24T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,cd6030fe05668e3196ee04b5ec77c4dddd7b68eef8b958f8072995fb7ad04a0b,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0255,2020,Thursday,2020-12-24T18:00:00,2020-12-28T01:00:00,79.0,78,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,662962a8d455d6192851f795bca33fbd1e17e131c0ae51c96d14aa53b1beedc6,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0256,2020,Monday,2020-12-28T23:00:00,2020-12-29T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,c6cb6d143c97092165f7fa92edadd205d16ca9c3594b4a6c7ef8b426eb95522f,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
GQ0257,2020,Tuesday,2020-12-29T23:00:00,2020-12-30T01:00:00,2.0,1,GOLD#_H1_202001020900_202012311800.csv,GOLD#_H1_202001020900_202012311800.csv,UNVERIFIED,UNVERIFIED_GAP,true,1921f479b8fcee71b61f6ab56a9e632e31cafbdeece781c0dc498da0ea88e17d,BROKER_SERVER_SESSION_SCHEDULE|SAME_BROKER_SERVER_LOWER_TIMEFRAME_OR_TICK_EXPORT|INDEPENDENT_SAME_BROKER_SERVER_H1_EXPORT|OFFICIAL_MARKET_OR_BROKER_HOLIDAY_NOTICE,,evidence_package_id|evidence_type|evidence_role_PRIMARY|source_organization|broker|server|symbol|time_basis|timezone_or_unknown|effective_start|effective_end|captured_at|artifact_path|artifact_sha256|source_metadata|validation_status,NO_EVIDENCE_SUBMITTED
