===== C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05\logs\20260621.log =====
MS	0	17:43:12.998	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
ES	0	17:43:12.998	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_173616\GOLD_HASH_H4_30000_validation\generated_tester.ini
RH	0	17:43:17.794	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
KL	0	17:43:18.702	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
KN	0	17:43:18.702	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 13:41:44
JL	0	17:43:19.453	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
GN	0	17:43:19.453	Network	'168886591': trading has been enabled - hedging mode
HH	0	17:43:19.984	Tester	automatical testing started
LM	0	17:43:20.478	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.53 ms via 'VPS London LD6 05' instead of 193.31 ms
EM	0	17:44:14.950	Tester	last test passed with result "successfully finished" in 0:00:53.060
QM	0	17:44:15.107	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
HH	0	17:44:17.304	Terminal	exit with code 0
CM	0	17:44:17.306	Network	'168886591': disconnected from XMGlobal-MT5 2
NG	0	17:44:17.382	Terminal	stopped with 0
GG	0	17:44:17.386	Terminal	shutdown with 0
NP	0	17:44:28.898	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_173616\GOLD_HASH_H4_30000_out_of_sample\generated_tester.ini"
JI	0	17:44:28.940	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
IQ	0	17:44:28.941	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 10 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
CE	0	17:44:28.941	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
EO	0	17:44:28.941	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_173616\GOLD_HASH_H4_30000_out_of_sample\generated_tester.ini
GK	0	17:44:32.319	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
OQ	0	17:44:33.126	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
JP	0	17:44:33.126	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 13:43:18
QS	0	17:44:33.943	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
DP	0	17:44:33.943	Network	'168886591': trading has been enabled - hedging mode
CJ	0	17:44:34.439	Tester	automatical testing started
DO	0	17:44:34.780	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.53 ms via 'VPS London LD6 05' instead of 193.31 ms
MH	0	17:45:20.176	Tester	last test passed with result "successfully finished" in 0:00:43.843
HP	0	17:45:20.365	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
MG	0	17:45:22.555	Terminal	exit with code 0
OO	0	17:45:22.558	Network	'168886591': disconnected from XMGlobal-MT5 2
EJ	0	17:45:22.638	Terminal	stopped with 0
LQ	0	17:45:22.643	Terminal	shutdown with 0
LM	0	18:30:03.092	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_183001\EURUSD_M30_10000_train\generated_tester.ini"
FH	0	18:30:03.332	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
QF	0	18:30:03.333	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 10 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
OF	0	18:30:03.333	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
PG	0	18:30:03.333	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_183001\EURUSD_M30_10000_train\generated_tester.ini
GK	0	18:30:14.360	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
OR	0	18:30:15.560	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
KP	0	18:30:15.560	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 13:44:32
QS	0	18:30:17.057	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
HP	0	18:30:17.057	Network	'168886591': trading has been enabled - hedging mode
MJ	0	18:30:18.501	Tester	automatical testing started
NO	0	18:30:20.295	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.53 ms via 'VPS London LD6 05' instead of 193.31 ms
CH	0	18:31:09.466	Tester	last test passed with result "successfully finished" in 0:00:48.193
IO	0	18:31:09.684	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
FG	0	18:31:12.757	Terminal	exit with code 0
LO	0	18:31:12.761	Network	'168886591': disconnected from XMGlobal-MT5 2
NE	0	18:31:12.894	Terminal	stopped with 0
OQ	0	18:31:12.900	Terminal	shutdown with 0
OS	0	18:31:30.644	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_183001\EURUSD_M30_10000_validation\generated_tester.ini"
EK	0	18:31:30.749	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
QF	0	18:31:30.749	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 10 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
OF	0	18:31:30.749	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
II	0	18:31:30.749	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_183001\EURUSD_M30_10000_validation\generated_tester.ini
ID	0	18:31:41.312	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
KP	0	18:31:42.794	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
OS	0	18:31:42.794	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 14:30:14
GP	0	18:31:44.669	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
NS	0	18:31:44.669	Network	'168886591': trading has been enabled - hedging mode
MM	0	18:31:46.048	Tester	automatical testing started
HN	0	18:31:47.417	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.53 ms via 'VPS London LD6 05' instead of 193.31 ms
OI	0	18:32:13.803	Tester	last test passed with result "successfully finished" in 0:00:25.148
HQ	0	18:32:14.019	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
MD	0	18:32:19.705	Terminal	exit with code 0
QN	0	18:32:19.728	Network	'168886591': disconnected from XMGlobal-MT5 2
OK	0	18:32:19.895	Terminal	stopped with 0
GR	0	18:32:19.902	Terminal	shutdown with 0
KL	0	18:32:38.652	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_183001\EURUSD_M30_10000_out_of_sample\generated_tester.ini"
KJ	0	18:32:38.740	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
PG	0	18:32:38.741	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 9 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
DH	0	18:32:38.741	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
DE	0	18:32:38.741	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_183001\EURUSD_M30_10000_out_of_sample\generated_tester.ini
NF	0	18:32:47.369	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
PG	0	18:32:48.486	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
KE	0	18:32:48.486	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 14:31:41
HF	0	18:32:49.471	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
ME	0	18:32:49.471	Network	'168886591': trading has been enabled - hedging mode
LO	0	18:32:50.285	Tester	automatical testing started
EH	0	18:32:51.085	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.53 ms via 'VPS London LD6 05' instead of 193.31 ms
QK	0	18:33:03.442	Tester	last test passed with result "successfully finished" in 0:00:11.014
CR	0	18:33:03.633	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
DR	0	18:33:08.815	Terminal	exit with code 0
QP	0	18:33:08.822	Network	'168886591': disconnected from XMGlobal-MT5 2
RH	0	18:33:08.965	Terminal	stopped with 0
IL	0	18:33:08.972	Terminal	shutdown with 0
EI	0	18:33:29.932	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_183001\EURUSD_H1_10000_train\generated_tester.ini"
NM	0	18:33:30.003	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
NE	0	18:33:30.003	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 10 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
HH	0	18:33:30.003	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
FF	0	18:33:30.003	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_183001\EURUSD_H1_10000_train\generated_tester.ini
IE	0	18:33:38.604	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
MG	0	18:33:39.990	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
MR	0	18:33:39.990	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 14:32:47
MQ	0	18:33:41.529	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
DE	0	18:33:41.529	Network	'168886591': trading has been enabled - hedging mode
MO	0	18:33:42.505	Tester	automatical testing started
MH	0	18:33:43.717	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.53 ms via 'VPS London LD6 05' instead of 193.31 ms
NJ	0	18:34:28.356	Tester	last test passed with result "successfully finished" in 0:00:43.177
IR	0	18:34:28.567	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
QE	0	18:34:32.340	Terminal	exit with code 0
JP	0	18:34:32.346	Network	'168886591': disconnected from XMGlobal-MT5 2
MH	0	18:34:32.478	Terminal	stopped with 0
FS	0	18:34:32.485	Terminal	shutdown with 0
OG	0	18:34:54.439	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_183001\EURUSD_H1_10000_validation\generated_tester.ini"
JM	0	18:34:54.529	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
JF	0	18:34:54.530	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 9 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
NI	0	18:34:54.530	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
II	0	18:34:54.530	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_183001\EURUSD_H1_10000_validation\generated_tester.ini
HF	0	18:35:02.750	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
KF	0	18:35:03.911	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
CE	0	18:35:03.911	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 14:33:39
QF	0	18:35:05.374	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
PD	0	18:35:05.374	Network	'168886591': trading has been enabled - hedging mode
KN	0	18:35:06.660	Tester	automatical testing started
