===== C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05\logs\20260621.log =====
EG	0	20:29:18.248	Tester	last test passed with result "successfully finished" in 0:00:24.573
IG	0	20:29:18.453	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
QN	0	20:29:21.880	Terminal	exit with code 0
CG	0	20:29:21.885	Network	'168886591': disconnected from XMGlobal-MT5 2
FM	0	20:29:22.161	Terminal	stopped with 0
KH	0	20:29:22.174	Terminal	shutdown with 0
JF	0	20:29:46.449	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_202843\EURUSD_H1_10000_out_of_sample\generated_tester.ini"
EP	0	20:29:46.506	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
FN	0	20:29:46.506	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 11 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
ON	0	20:29:46.506	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
RL	0	20:29:46.506	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_202843\EURUSD_H1_10000_out_of_sample\generated_tester.ini
GL	0	20:29:50.574	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
CI	0	20:29:51.804	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
IK	0	20:29:51.804	Network	'168886591': previous successful authorization performed from 171.4.229.144 on 2026.06.21 16:28:48
OH	0	20:29:52.561	Network	'168886591': terminal synchronized with XM Global Limited: 0 positions, 0 orders, 1572 symbols, 0 spreads
GK	0	20:29:52.562	Network	'168886591': trading has been enabled - hedging mode
KE	0	20:29:53.138	Tester	automatical testing started
CF	0	20:29:53.615	Trades	use MetaTrader VPS Hosting Service to speed up the execution: 3.53 ms via 'VPS London LD6 05' instead of 193.31 ms
OQ	0	20:30:04.499	Tester	last test passed with result "successfully finished" in 0:00:09.353
GH	0	20:30:04.681	Experts	expert TrailingSL_Manager (EURUSD#,H1) removed
OL	0	20:30:07.598	Terminal	exit with code 0
FF	0	20:30:07.602	Network	'168886591': disconnected from XMGlobal-MT5 2
ER	0	20:30:07.705	Terminal	stopped with 0
QJ	0	20:30:07.720	Terminal	shutdown with 0
LF	0	20:50:33.420	Startup	successfully initialized from start config "G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_205032\EURUSD_H1_EXIT_BASELINE_10000_train\generated_tester.ini"
GE	0	20:50:33.470	Terminal	XM Global MT5 x64 build 5833 started for XM Global Limited
KL	0	20:50:33.470	Terminal	Windows 11 build 26300, 12 x Intel Core i7-10750H  @ 2.60GHz, AVX2, 10 / 31 Gb memory, 4 / 382 Gb disk, UAC, GMT+7
MP	0	20:50:33.470	Terminal	C:\Users\tomah\AppData\Roaming\MetaQuotes\Terminal\BB16F565FAAA6B23A20C26C49416FF05
MO	0	20:50:33.470	Terminal	launched with G:\AiServer\Codex\ForexAiTrade\research\runs\run_20260621_205032\EURUSD_H1_EXIT_BASELINE_10000_train\generated_tester.ini
NO	0	20:50:37.514	Experts	expert TrailingSL_Manager (EURUSD#,H1) loaded successfully
IM	0	20:50:38.764	Network	'168886591': authorized on XMGlobal-MT5 2 through Access Server SG (ping: 193.31 ms, build 5660)
