run_id,window_index,phase,event_time,runtime_symbol,timeframe,authoritative_source,case_id,classification,paf_candidate_direction,paf_direction_is_usable_for_first_touch,paf_direction_source,paf_direction_reason,paf_fibo_direction_gap_reason,schema_origin,candidate_outcome,candidate_reason,source_row,entry_reference_price,atr,entry_atr_authoritative_source,entry_atr_source_log,entry_atr_join_key
run_20260711_145612,2,dz_w002_20230108_20230115,2023.01.12 02:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w002_20230108_20230115,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,25,1876.89,4.24,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w002_20230108_20230115/ea_mirror.log,run_id+case_id+event_time
run_20260711_145612,2,dz_w002_20230108_20230115,2023.01.12 17:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w002_20230108_20230115,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,26,1882.46,6.44,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w002_20230108_20230115/ea_mirror.log,run_id+case_id+event_time
run_20260711_145612,2,dz_w002_20230108_20230115,2023.01.13 16:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w002_20230108_20230115,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,27,1900.02,5.02,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w002_20230108_20230115/ea_mirror.log,run_id+case_id+event_time
run_20260711_145612,3,dz_w003_20230115_20230122,2023.01.16 14:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w003_20230115_20230122,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,28,1916.55,4.98,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w003_20230115_20230122/ea_mirror.log,run_id+case_id+event_time
run_20260711_145612,3,dz_w003_20230115_20230122,2023.01.16 17:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w003_20230115_20230122,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,29,1915.33,4.85,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w003_20230115_20230122/ea_mirror.log,run_id+case_id+event_time
run_20260711_145612,3,dz_w003_20230115_20230122,2023.01.17 03:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w003_20230115_20230122,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,30,1918.23,3.14,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w003_20230115_20230122/ea_mirror.log,run_id+case_id+event_time
run_20260711_145612,3,dz_w003_20230115_20230122,2023.01.19 08:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w003_20230115_20230122,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,33,1910.06,4.62,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w003_20230115_20230122/ea_mirror.log,run_id+case_id+event_time
run_20260711_145612,3,dz_w003_20230115_20230122,2023.01.19 10:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w003_20230115_20230122,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,35,1911.38,4.05,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w003_20230115_20230122/ea_mirror.log,run_id+case_id+event_time
run_20260711_145612,3,dz_w003_20230115_20230122,2023.01.19 11:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w003_20230115_20230122,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,36,1912.61,3.98,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w003_20230115_20230122/ea_mirror.log,run_id+case_id+event_time
run_20260711_145612,3,dz_w003_20230115_20230122,2023.01.19 13:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w003_20230115_20230122,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,37,1909.58,4.13,ea_mirror.log,run_20260711_145612/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w003_20230115_20230122/ea_mirror.log,run_id+case_id+event_time
