average_duration_seconds,average_r,base_case_id,case_id,close_events,count,exit_classification,modify_events,net_profit,phase,run_id,symbol,timeframe,warnings
,,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_validation,258,0,OTHER_CLOSE,2226,0,validation,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000,EURUSD_H1_RISKGATE_NEXT_DAY_RESET_10000_validation,258,0,UNKNOWN,2226,0,validation,run_20260621_214917,EURUSD,H1,
38321.811321,-1.029148,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_out_of_sample,121,53,INITIAL_SL_LOSS,696,-466.81,out_of_sample,run_20260621_214917,EURUSD,H1,
53919.0,-0.021402,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_out_of_sample,121,2,BREAKEVEN_SL,696,-0.39,out_of_sample,run_20260621_214917,EURUSD,H1,
36839.90566,0.361809,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_out_of_sample,121,53,TRAILING_SL_PROFIT,696,165.8,out_of_sample,run_20260621_214917,EURUSD,H1,
54861.846154,1.87971,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_out_of_sample,121,13,TP_HIT,696,219.11,out_of_sample,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_out_of_sample,121,0,OTHER_CLOSE,696,0,out_of_sample,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_out_of_sample,121,0,UNKNOWN,696,0,out_of_sample,run_20260621_214917,EURUSD,H1,
30592.512367,-1.003274,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_train,604,283,INITIAL_SL_LOSS,3736,-2447.1,train,run_20260621_214917,EURUSD,H1,
230076.0,-0.02038,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_train,604,1,BREAKEVEN_SL,3736,-0.15,train,run_20260621_214917,EURUSD,H1,
53300.105691,0.415194,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_train,604,246,TRAILING_SL_PROFIT,3736,863.38,train,run_20260621_214917,EURUSD,H1,
35503.581081,1.795863,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_train,604,74,TP_HIT,3736,1165.12,train,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_train,604,0,OTHER_CLOSE,3736,0,train,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_train,604,0,UNKNOWN,3736,0,train,run_20260621_214917,EURUSD,H1,
30750.756098,-1.011032,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_validation,272,123,INITIAL_SL_LOSS,2419,-1071.34,validation,run_20260621_214917,EURUSD,H1,
84757.0,-0.07346,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_validation,272,1,BREAKEVEN_SL,2419,-0.62,validation,run_20260621_214917,EURUSD,H1,
60241.087719,0.465992,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_validation,272,114,TRAILING_SL_PROFIT,2419,449.44,validation,run_20260621_214917,EURUSD,H1,
33433.441176,1.798249,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_validation,272,34,TP_HIT,2419,527.03,validation,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_validation,272,0,OTHER_CLOSE,2419,0,validation,run_20260621_214917,EURUSD,H1,
,,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000,EURUSD_H1_RISKGATE_NO_LOSING_STREAK_GATE_10000_validation,272,0,UNKNOWN,2419,0,validation,run_20260621_214917,EURUSD,H1,
33604.962963,-1.004437,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_out_of_sample,62,27,INITIAL_SL_LOSS,478,-225.71,out_of_sample,run_20260621_214917,EURUSD,H1,
85199.0,-0.010582,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_out_of_sample,62,1,BREAKEVEN_SL,478,-0.1,out_of_sample,run_20260621_214917,EURUSD,H1,
27088.913043,0.426703,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_out_of_sample,62,23,TRAILING_SL_PROFIT,478,81.71,out_of_sample,run_20260621_214917,EURUSD,H1,
57639.181818,1.896818,EURUSD_H1_RISKGATE_NORMAL_10000,EURUSD_H1_RISKGATE_NORMAL_10000_out_of_sample,62,11,TP_HIT,478,185.13,out_of_sample,run_20260621_214917,EURUSD,H1,
