annualized_return_informational_only,annualized_return_percent,annualized_return_warning,base_case_id,cagr_approx_percent,calmar_ratio,canonical_symbol,case_failed_gates,case_id,case_level_classification,consecutive_losses,deposit,execution_status,failed_gates,largest_loss,largest_win,max_drawdown,max_relative_drawdown_percent,monthly_return_estimate,net_profit,phase,phase_classification,profit_factor,relative_drawdown,research_classification,return_to_drawdown_ratio,risk_adjusted_classification,run_id,score,symbol,test_period_days,timeframe,total_trades
True,-0.1591,low_trade_count,USDJPY_HASH_H1_10000,-0.1593,-0.2893,USDJPY,validation_or_oos_not_positive_valid,USDJPY_HASH_H1_10000_train,REJECTED,4,10000,PASS,insufficient_trades,-9.48,15.12,55.22,0.55,-0.0133,-31.87,train,INSUFFICIENT_TRADES,0.39,0.55,INSUFFICIENT_TRADES,-0.5795,NOT_VIABLE,run_20260621_173616,,USDJPY#,731,H1,13
False,-0.6399,,USDJPY_HASH_H1_10000,-0.6399,-0.7272,USDJPY,validation_or_oos_not_positive_valid,USDJPY_HASH_H1_10000_validation,REJECTED,4,10000,PASS,,-9.96,16.57,87.87,0.88,-0.0533,-63.99,validation,VALID_RESULT,0.8,0.88,VALID_RESULT,-0.7272,NOT_VIABLE,run_20260621_173616,-60.39,USDJPY#,365,H1,91
True,0.8862,short_test_period,EURUSD_H1_10000,0.8883,1.502,EURUSD,train_negative_or_insufficient,EURUSD_H1_10000_out_of_sample,TRAIN_FAILED_VALIDATION_OOS_PASS,4,10000,PASS,,-10.25,19.32,59.65,0.59,0.0738,41.03,out_of_sample,VALID_RESULT,1.18,0.59,VALID_RESULT,0.6954,BELOW_FOREX_RISK_PREMIUM,run_20260621_183001,49.88,EURUSD,169,H1,62
True,-0.2045,low_trade_count,EURUSD_H1_10000,-0.2047,-0.3466,EURUSD,train_negative_or_insufficient,EURUSD_H1_10000_train,TRAIN_FAILED_VALIDATION_OOS_PASS,4,10000,PASS,insufficient_trades,-9.42,14.25,59.16,0.59,-0.017,-40.96,train,INSUFFICIENT_TRADES,0.57,0.59,INSUFFICIENT_TRADES,-0.6942,BELOW_FOREX_RISK_PREMIUM,run_20260621_183001,,EURUSD,731,H1,22
False,0.6138,,EURUSD_H1_10000,0.6138,0.9743,EURUSD,train_negative_or_insufficient,EURUSD_H1_10000_validation,TRAIN_FAILED_VALIDATION_OOS_PASS,4,10000,PASS,,-10.45,20.4,63.21,0.63,0.0512,61.38,validation,VALID_RESULT,1.16,0.63,VALID_RESULT,0.9743,BELOW_FOREX_RISK_PREMIUM,run_20260621_183001,69.83,EURUSD,365,H1,105
True,-0.124,"short_test_period,low_trade_count",EURUSD_H4_10000,-0.1239,-0.3874,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H4_10000_out_of_sample,REJECTED,3,10000,PASS,insufficient_trades,-9.77,17.62,31.95,0.32,-0.0103,-5.74,out_of_sample,INSUFFICIENT_TRADES,0.94,0.32,INSUFFICIENT_TRADES,-0.1794,NOT_VIABLE,run_20260621_183001,,EURUSD,169,H4,27
True,-0.1862,low_trade_count,EURUSD_H4_10000,-0.1864,-0.4656,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H4_10000_train,REJECTED,4,10000,PASS,insufficient_trades,-9.78,12.53,39.94,0.4,-0.0155,-37.3,train,INSUFFICIENT_TRADES,0.49,0.4,INSUFFICIENT_TRADES,-0.9325,NOT_VIABLE,run_20260621_183001,,EURUSD,731,H4,17
True,-0.2315,low_trade_count,EURUSD_H4_10000,-0.2315,-0.7015,EURUSD,validation_or_oos_not_positive_valid,EURUSD_H4_10000_validation,REJECTED,4,10000,PASS,insufficient_trades,-9.74,15.2,33.34,0.33,-0.0193,-23.15,validation,INSUFFICIENT_TRADES,0.4,0.33,INSUFFICIENT_TRADES,-0.7015,NOT_VIABLE,run_20260621_183001,,EURUSD,365,H4,6
True,1.2205,short_test_period,EURUSD_M30_10000,1.2245,1.7948,EURUSD,validation_or_oos_not_positive_valid,EURUSD_M30_10000_out_of_sample,REJECTED,4,10000,PASS,,-10.27,41.2,68.38,0.68,0.1017,56.51,out_of_sample,VALID_RESULT,1.22,0.68,VALID_RESULT,0.831,NOT_VIABLE,run_20260621_183001,65.31,EURUSD,169,M30,71
True,-0.0357,low_trade_count,EURUSD_M30_10000,-0.0357,-0.0914,EURUSD,validation_or_oos_not_positive_valid,EURUSD_M30_10000_train,REJECTED,4,10000,PASS,insufficient_trades,-9.84,15.43,39.07,0.39,-0.003,-7.14,train,INSUFFICIENT_TRADES,0.91,0.39,INSUFFICIENT_TRADES,-0.1831,NOT_VIABLE,run_20260621_183001,,EURUSD,731,M30,21
