run_id,window_index,phase,event_time,runtime_symbol,timeframe,authoritative_source,case_id,classification,paf_candidate_direction,paf_direction_is_usable_for_first_touch,paf_direction_source,paf_direction_reason,paf_fibo_direction_gap_reason,schema_origin,candidate_outcome,candidate_reason,source_row,entry_reference_price,atr,entry_atr_authoritative_source,entry_atr_source_log,entry_atr_join_key,shadow_event_status,h6_bars_available,h6_accepted_closures_crossed,h6_eligibility,h6_exclusion_reason,h6_outcome,h6_touch_bar,h6_future_high,h6_future_low,h6_future_close,h12_bars_available,h12_accepted_closures_crossed,h12_eligibility,h12_exclusion_reason,h12_outcome,h12_touch_bar,h12_future_high,h12_future_low,h12_future_close,h24_bars_available,h24_accepted_closures_crossed,h24_eligibility,h24_exclusion_reason,h24_outcome,h24_touch_bar,h24_future_high,h24_future_low,h24_future_close,h48_bars_available,h48_accepted_closures_crossed,h48_eligibility,h48_exclusion_reason,h48_outcome,h48_touch_bar,h48_future_high,h48_future_low,h48_future_close,h48_gap_detail,h12_gap_detail,h24_gap_detail,h6_gap_detail
run_20260711_153941,142,dz_w142_20250914_20250921,2025.09.16 18:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w142_20250914_20250921,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2152,3686.30,9.29,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w142_20250914_20250921/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,1,INCLUDED,,NO_RESOLUTION,,3693.79,3684.63,3691.96,12,1,INCLUDED,,SL_FIRST,9,3695.34,3674.27,3680.69,24,1,INCLUDED,,SL_FIRST,9,3695.34,3660.02,3684.7,48,2,INCLUDED,,SL_FIRST,9,3707.43,3627.89,3643.54,,,,
run_20260711_153941,142,dz_w142_20250914_20250921,2025.09.16 19:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w142_20250914_20250921,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2153,3686.26,9.12,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w142_20250914_20250921/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,1,INCLUDED,,NO_RESOLUTION,,3695.22,3686.25,3694.24,12,1,INCLUDED,,SL_FIRST,8,3695.34,3674.27,3679.16,24,1,INCLUDED,,SL_FIRST,8,3695.34,3660.02,3686.75,48,2,INCLUDED,,SL_FIRST,8,3707.43,3627.89,3641.36,,,,
run_20260711_153941,142,dz_w142_20250914_20250921,2025.09.16 20:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w142_20250914_20250921,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2154,3689.76,9.02,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w142_20250914_20250921/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,1,INCLUDED,,NO_RESOLUTION,,3695.34,3686.41,3691.19,12,1,INCLUDED,,SL_FIRST,7,3695.34,3670.47,3675.01,24,1,INCLUDED,,SL_FIRST,7,3707.43,3646.09,3650.29,48,2,INCLUDED,,SL_FIRST,7,3707.43,3627.89,3646.67,,,,
run_20260711_153941,142,dz_w142_20250914_20250921,2025.09.17 01:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w142_20250914_20250921,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2155,3689.69,8.21,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w142_20250914_20250921/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,SL_FIRST,3,3695.34,3674.27,3680.69,12,0,INCLUDED,,SL_FIRST,3,3695.34,3660.41,3661.41,24,1,INCLUDED,,SL_FIRST,3,3707.43,3646.09,3669.07,48,2,INCLUDED,,SL_FIRST,3,3707.43,3627.89,3640.11,,,,
run_20260711_153941,142,dz_w142_20250914_20250921,2025.09.17 07:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w142_20250914_20250921,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2156,3681.68,7.46,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w142_20250914_20250921/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,SL_FIRST,2,3685.86,3660.41,3661.41,12,0,INCLUDED,,SL_FIRST,2,3688.46,3660.02,3684.7,24,1,INCLUDED,,SL_FIRST,2,3707.43,3646.09,3651.49,48,2,INCLUDED,,SL_FIRST,2,3707.43,3627.89,3646.9,,,,
run_20260711_153941,142,dz_w142_20250914_20250921,2025.09.17 17:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w142_20250914_20250921,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2157,3678.77,8.64,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w142_20250914_20250921/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,AMBIGUOUS_SAME_BAR,4,3707.43,3646.09,3659.92,12,1,INCLUDED,,AMBIGUOUS_SAME_BAR,4,3707.43,3646.09,3658.53,24,1,INCLUDED,,AMBIGUOUS_SAME_BAR,4,3707.43,3627.89,3641.23,48,2,INCLUDED,,AMBIGUOUS_SAME_BAR,4,3707.43,3627.89,3668.25,,,,
run_20260711_153941,143,dz_w143_20250921_20250928,2025.09.24 01:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2166,3764.06,13.23,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,SL_FIRST,4,3771.75,3750.59,3768.21,12,0,INCLUDED,,SL_FIRST,4,3779.16,3750.59,3762.13,24,1,INCLUDED,,SL_FIRST,4,3779.16,3717.49,3743.0,48,2,INCLUDED,,SL_FIRST,4,3779.16,3717.49,3749.52,,,,
run_20260711_153941,143,dz_w143_20250921_20250928,2025.09.24 02:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2167,3765.36,13.04,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,SL_FIRST,3,3776.97,3750.59,3774.85,12,0,INCLUDED,,SL_FIRST,3,3779.16,3750.59,3769.0,24,1,INCLUDED,,SL_FIRST,3,3779.16,3717.49,3748.97,48,2,INCLUDED,,SL_FIRST,3,3779.16,3717.49,3739.05,,,,
run_20260711_153941,143,dz_w143_20250921_20250928,2025.09.24 03:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2168,3763.79,12.04,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,SL_FIRST,2,3776.97,3750.59,3771.17,12,0,INCLUDED,,SL_FIRST,2,3779.16,3750.59,3768.06,24,1,INCLUDED,,SL_FIRST,2,3779.16,3717.49,3736.08,48,2,INCLUDED,,SL_FIRST,2,3779.16,3717.49,3738.39,,,,
run_20260711_153941,143,dz_w143_20250921_20250928,2025.09.24 04:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2169,3765.13,11.31,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,SL_FIRST,1,3779.16,3750.59,3777.39,12,0,INCLUDED,,SL_FIRST,1,3779.16,3750.59,3761.16,24,1,INCLUDED,,SL_FIRST,1,3779.16,3717.49,3739.58,48,2,INCLUDED,,SL_FIRST,1,3779.16,3717.49,3745.56,,,,
run_20260711_153941,143,dz_w143_20250921_20250928,2025.09.24 05:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2170,3756.53,12.00,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,TP_FIRST,3,3779.16,3752.27,3770.04,12,0,INCLUDED,,TP_FIRST,3,3779.16,3749.56,3752.71,24,1,INCLUDED,,TP_FIRST,3,3779.16,3717.49,3736.59,48,2,INCLUDED,,TP_FIRST,3,3779.16,3717.49,3747.67,,,,
run_20260711_153941,143,dz_w143_20250921_20250928,2025.09.24 06:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2171,3756.97,11.97,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,TP_FIRST,2,3779.16,3762.99,3768.43,12,0,INCLUDED,,TP_FIRST,2,3779.16,3739.68,3741.14,24,1,INCLUDED,,TP_FIRST,2,3779.16,3717.49,3738.13,48,2,INCLUDED,,TP_FIRST,2,3779.16,3717.49,3741.93,,,,
run_20260711_153941,143,dz_w143_20250921_20250928,2025.09.24 12:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2172,3770.04,10.48,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,SL_FIRST,4,3772.9,3739.68,3741.14,12,1,INCLUDED,,SL_FIRST,4,3772.9,3717.49,3741.08,24,1,INCLUDED,,SL_FIRST,4,3772.9,3717.49,3757.09,48,2,INCLUDED,,SL_FIRST,4,3772.9,3717.49,3748.63,,,,
run_20260711_153941,143,dz_w143_20250921_20250928,2025.09.24 13:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2173,3768.43,9.30,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w143_20250921_20250928/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,SL_FIRST,3,3772.9,3732.27,3735.71,12,1,INCLUDED,,SL_FIRST,3,3772.9,3717.49,3743.0,24,1,INCLUDED,,SL_FIRST,3,3772.9,3717.49,3752.97,48,2,INCLUDED,,SL_FIRST,3,3772.9,3717.49,3752.03,,,,
run_20260711_153941,144,dz_w144_20250928_20251005,2025.09.30 15:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w144_20250928_20251005,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2182,3815.26,15.34,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w144_20250928_20251005/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,TP_FIRST,2,3854.44,3811.64,3847.97,12,1,INCLUDED,,TP_FIRST,2,3868.94,3811.64,3868.93,24,1,INCLUDED,,TP_FIRST,2,3895.33,3811.64,3872.89,48,2,INCLUDED,,TP_FIRST,2,3896.81,3811.64,3839.79,,,,
run_20260711_153941,144,dz_w144_20250928_20251005,2025.10.01 17:00:00,GOLD#,H1,ea_mirror.log,GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w144_20250928_20251005,POSSIBLE_FIBO_PULLBACK,BUY,true,FIBO_PULLBACK_EMA,fibo_pullback_with_bullish_ema_context,NONE,NATIVE,ELIGIBLE_DIAGNOSTIC_ROW,USABLE_DIRECTION_COMPLETE,2183,3872.89,12.45,ea_mirror.log,run_20260711_153941/GOLD_HASH_H1_PAF_HISTORICAL_STABILITY_DZ_dz_w144_20250928_20251005/ea_mirror.log,run_id+case_id+event_time,EVENT_MATCHED,6,0,INCLUDED,,SL_FIRST,1,3876.77,3855.03,3865.57,12,1,INCLUDED,,SL_FIRST,1,3876.77,3852.83,3866.55,24,1,INCLUDED,,SL_FIRST,1,3896.81,3819.31,3828.28,48,2,INCLUDED,,SL_FIRST,1,3896.81,3819.31,3883.66,,,,
