dataset_id,direction,year,horizon_valid_h1_bars,metric,total_events,evaluable_events,evaluation_coverage,mean_bps,median_bps,p25_bps,p75_bps,positive_share,zero_share,negative_share
FP_FQ_2020_2022_GOLD_H1,SHORT,2020,12,MAE_BPS,70,24,0.342857,79.772786,50.445636,28.404863,65.734500,1.000000,0.000000,0.000000
FP_FQ_2020_2022_GOLD_H1,SHORT,2021,1,RETURN_BPS,93,86,0.924731,-2.311503,-2.803724,-10.050281,2.300034,0.395349,0.000000,0.604651
FP_FQ_2020_2022_GOLD_H1,SHORT,2021,3,RETURN_BPS,93,73,0.784946,-11.331587,-8.348988,-27.266568,2.136380,0.301370,0.013699,0.684932
FP_FQ_2020_2022_GOLD_H1,SHORT,2021,6,RETURN_BPS,93,42,0.451613,-7.328552,-7.314230,-32.123133,6.405663,0.452381,0.000000,0.547619
FP_FQ_2020_2022_GOLD_H1,SHORT,2021,12,RETURN_BPS,93,20,0.215054,-10.241573,1.865306,-22.388302,17.783170,0.500000,0.000000,0.500000
FP_FQ_2020_2022_GOLD_H1,SHORT,2021,12,MFE_BPS,93,20,0.215054,31.275241,24.240134,15.431713,40.179969,1.000000,0.000000,0.000000
FP_FQ_2020_2022_GOLD_H1,SHORT,2021,12,MAE_BPS,93,20,0.215054,44.449218,32.120208,24.012396,43.604086,1.000000,0.000000,0.000000
FP_FQ_2020_2022_GOLD_H1,SHORT,2022,1,RETURN_BPS,78,75,0.961538,-2.551178,-2.276362,-13.007314,6.692480,0.413333,0.000000,0.586667
FP_FQ_2020_2022_GOLD_H1,SHORT,2022,3,RETURN_BPS,78,65,0.833333,0.468485,-1.465912,-16.549171,12.432066,0.461538,0.000000,0.538462
FP_FQ_2020_2022_GOLD_H1,SHORT,2022,6,RETURN_BPS,78,46,0.589744,7.847091,1.861227,-15.848908,28.002856,0.543478,0.000000,0.456522
FP_FQ_2020_2022_GOLD_H1,SHORT,2022,12,RETURN_BPS,78,25,0.320513,-1.084996,2.719748,-33.653422,38.208642,0.520000,0.000000,0.480000
FP_FQ_2020_2022_GOLD_H1,SHORT,2022,12,MFE_BPS,78,25,0.320513,43.176314,25.817241,17.848562,58.338915,1.000000,0.000000,0.000000
FP_FQ_2020_2022_GOLD_H1,SHORT,2022,12,MAE_BPS,78,25,0.320513,48.922908,36.011318,16.590009,69.090110,0.960000,0.040000,0.000000
