event,timestamp,run_id,preset_file,ticket,position_id,deal_id,actual_symbol,canonical_symbol,timeframe,strategy,regime,direction,entry_price,initial_sl,initial_tp,current_price,close_price,old_sl,new_sl,old_tp,new_tp,sl_distance_points,tp_distance_points,initial_risk_money,lot_size,spread_at_entry,atr,r_target,unrealized_r,profit,duration_seconds,final_sl,final_tp,realized_r,exit_comment,exit_classification,classification_reason
OPEN,2026.01.16 15:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,12,12,12,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.16181,1.16316,1.15913,1.16181,0.0,0.0,1.16316,0.0,1.15913,134.99999999999622,268.00000000000153,9.449999999999736,0.07,19.999999999997797,0.000672142857142855,1.9851851851852522,0.0,0.0,0,1.16316,1.15913,0.0,,,open deal
CLOSE,2026.01.16 17:40:16,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,13,12,13,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.16181,1.16316,1.15913,1.15912,1.15912,0.0,0.0,0.0,0.0,134.99999999999622,268.00000000000153,9.449999999999736,0.07,19.999999999997797,0.000672142857142855,1.9851851851852522,0.0,18.83,9616,1.16316,1.15913,1.992592592592648,tp 1.15913,TP_HIT,close comment starts with tp
OPEN,2026.01.16 18:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,14,14,14,EURUSD,EURUSD,PERIOD_H1,FAT Breakout Sell,breakout,sell,1.15926,1.16101,1.15608,1.15926,0.0,0.0,1.16101,0.0,1.15608,175.000000000014,317.999999999996,8.750000000000702,0.05,19.999999999997797,0.0009778571428571451,1.8171428571426889,0.0,0.0,0,1.16101,1.15608,0.0,,,open deal
CLOSE,2026.01.19 01:09:16,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,15,14,15,EURUSD,EURUSD,PERIOD_H1,FAT Breakout Sell,breakout,sell,1.15926,1.16101,1.15608,1.16101,1.16101,0.0,0.0,0.0,0.0,175.000000000014,317.999999999996,8.750000000000702,0.05,19.999999999997797,0.0009778571428571451,1.8171428571426889,0.0,-8.65,198556,1.16101,1.15608,-0.9885714285713494,sl 1.16101,INITIAL_SL_LOSS,sl close with negative profit
OPEN,2026.01.19 03:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,16,16,16,EURUSD,EURUSD,PERIOD_H1,FAT Breakout Buy,breakout,buy,1.16329,1.16014,1.16843,1.16329,0.0,0.0,1.16014,0.0,1.16843,314.9999999999986,514.0000000000144,9.449999999999957,0.03,19.999999999997797,0.0016464285714286081,1.631746031746085,0.0,0.0,0,1.16014,1.16843,0.0,,,open deal
CLOSE,2026.01.20 09:34:05,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,17,16,17,EURUSD,EURUSD,PERIOD_H1,FAT Breakout Buy,breakout,buy,1.16329,1.16014,1.16843,1.16845,1.16845,0.0,0.0,0.0,0.0,314.9999999999986,514.0000000000144,9.449999999999957,0.03,19.999999999997797,0.0016464285714286081,1.631746031746085,0.0,15.23,110045,1.16014,1.16843,1.611640211640219,tp 1.16843,TP_HIT,close comment starts with tp
OPEN,2026.01.21 06:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,18,18,18,EURUSD,EURUSD,PERIOD_H1,FAT Trend Buy,trend,buy,1.172,1.16926,1.1768399999999999,1.172,0.0,0.0,1.16926,0.0,1.1768399999999999,273.9999999999964,483.9999999999955,8.219999999999892,0.03,19.999999999997797,0.0012628571428572046,1.7664233576642403,0.0,0.0,0,1.16926,1.1768399999999999,0.0,,,open deal
CLOSE,2026.01.21 20:41:04,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,19,18,19,EURUSD,EURUSD,PERIOD_H1,FAT Trend Buy,trend,buy,1.172,1.16926,1.1768399999999999,1.16926,1.16926,0.0,0.0,0.0,0.0,273.9999999999964,483.9999999999955,8.219999999999892,0.03,19.999999999997797,0.0012628571428572046,1.7664233576642403,0.0,-8.22,52864,1.16926,1.1768399999999999,-1.000000000000013,sl 1.16926,INITIAL_SL_LOSS,sl close with negative profit
OPEN,2026.01.23 10:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,20,20,20,EURUSD,EURUSD,PERIOD_H1,FAT Trend Buy,trend,buy,1.1736900000000001,1.17196,1.1766,1.1736900000000001,0.0,0.0,1.17196,0.0,1.1766,173.00000000002314,290.9999999999968,8.650000000001157,0.05,20.000000000020002,0.0007728571428571665,1.682080924855248,0.0,0.0,0,1.17196,1.1766,0.0,,,open deal
CLOSE,2026.01.23 18:34:27,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,21,20,21,EURUSD,EURUSD,PERIOD_H1,FAT Trend Buy,trend,buy,1.1736900000000001,1.17196,1.1766,1.17661,1.17661,0.0,0.0,0.0,0.0,173.00000000002314,290.9999999999968,8.650000000001157,0.05,20.000000000020002,0.0007728571428571665,1.682080924855248,0.0,14.6,30867,1.17196,1.1766,1.6878612716760748,tp 1.17660,TP_HIT,close comment starts with tp
OPEN,2026.01.23 19:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,22,22,22,EURUSD,EURUSD,PERIOD_H1,FAT Breakout Buy,breakout,buy,1.17716,1.17483,1.18083,1.17716,0.0,0.0,1.17483,0.0,1.18083,232.99999999999432,367.0000000000062,9.319999999999773,0.04,19.999999999997797,0.0011914285714285774,1.575107296137404,0.0,0.0,0,1.17483,1.18083,0.0,,,open deal
CLOSE,2026.01.23 21:55:32,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,23,22,23,EURUSD,EURUSD,PERIOD_H1,FAT Breakout Buy,breakout,buy,1.17716,1.17483,1.18083,1.18084,1.18084,0.0,0.0,0.0,0.0,232.99999999999432,367.0000000000062,9.319999999999773,0.04,19.999999999997797,0.0011914285714285774,1.575107296137404,0.0,14.72,10532,1.17483,1.18083,1.5793991416309399,tp 1.18083,TP_HIT,close comment starts with tp
OPEN,2026.01.26 16:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,24,24,24,EURUSD,EURUSD,PERIOD_H1,FAT Trend Buy,trend,buy,1.1857,1.1820599999999999,1.19235,1.1857,0.0,0.0,1.1820599999999999,0.0,1.19235,364.00000000000875,665.0000000000044,7.280000000000175,0.02,19.999999999997797,0.0017150000000000427,1.8269230769230451,0.0,0.0,0,1.1820599999999999,1.19235,0.0,,,open deal
CLOSE,2026.01.27 14:26:28,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,25,24,25,EURUSD,EURUSD,PERIOD_H1,FAT Trend Buy,trend,buy,1.1857,1.1820599999999999,1.19235,1.19235,1.19235,0.0,0.0,0.0,0.0,364.00000000000875,665.0000000000044,7.280000000000175,0.02,19.999999999997797,0.0017150000000000427,1.8269230769230451,0.0,13.13,80788,1.1820599999999999,1.19235,1.8035714285713853,tp 1.19235,TP_HIT,close comment starts with tp
OPEN,2026.01.27 15:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,26,26,26,EURUSD,EURUSD,PERIOD_H1,FAT Breakout Buy,breakout,buy,1.19296,1.18982,1.19795,1.19296,0.0,0.0,1.18982,0.0,1.19795,313.99999999999204,499.00000000000495,9.41999999999976,0.03,19.999999999997797,0.0016128571428571982,1.589171974522349,0.0,0.0,0,1.18982,1.19795,0.0,,,open deal
CLOSE,2026.01.27 18:38:02,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,27,26,27,EURUSD,EURUSD,PERIOD_H1,FAT Breakout Buy,breakout,buy,1.19296,1.18982,1.19795,1.19795,1.19795,0.0,0.0,0.0,0.0,313.99999999999204,499.00000000000495,9.41999999999976,0.03,19.999999999997797,0.0016128571428571982,1.589171974522349,0.0,14.97,13082,1.18982,1.19795,1.5891719745223336,tp 1.19795,TP_HIT,close comment starts with tp
OPEN,2026.01.28 08:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,28,28,28,EURUSD,EURUSD,PERIOD_H1,FAT Trend Buy,trend,buy,1.19981,1.19446,1.20991,1.19981,0.0,0.0,1.19446,0.0,1.20991,534.9999999999966,1009.9999999999997,5.349999999999966,0.01,19.999999999997797,0.002575714285714257,1.887850467289731,0.0,0.0,0,1.19446,1.20991,0.0,,,open deal
CLOSE,2026.01.28 17:07:28,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,29,28,29,EURUSD,EURUSD,PERIOD_H1,FAT Trend Buy,trend,buy,1.19981,1.19446,1.20991,1.19445,1.19445,0.0,0.0,0.0,0.0,534.9999999999966,1009.9999999999997,5.349999999999966,0.01,19.999999999997797,0.002575714285714257,1.887850467289731,0.0,-5.36,32848,1.19446,1.20991,-1.0018691588785111,sl 1.19446,INITIAL_SL_LOSS,sl close with negative profit
OPEN,2026.01.28 18:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,30,30,30,EURUSD,EURUSD,PERIOD_H1,FAT Trend Buy,trend,buy,1.19444,1.18943,1.2039,1.19444,0.0,0.0,1.18943,0.0,1.2039,500.99999999999585,946.0000000000023,10.019999999999918,0.02,19.999999999997797,0.0024114285714285605,1.8882235528942317,0.0,0.0,0,1.18943,1.2039,0.0,,,open deal
CLOSE,2026.01.30 04:21:42,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,31,30,31,EURUSD,EURUSD,PERIOD_H1,FAT Trend Buy,trend,buy,1.19444,1.18943,1.2039,1.18943,1.18943,0.0,0.0,0.0,0.0,500.99999999999585,946.0000000000023,10.019999999999918,0.02,19.999999999997797,0.0024114285714285605,1.8882235528942317,0.0,-10.7,123702,1.18943,1.2039,-1.0678642714570945,sl 1.18943,INITIAL_SL_LOSS,sl close with negative profit
OPEN,2026.02.03 07:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,32,32,32,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.18083,1.18367,1.17512,1.18083,0.0,0.0,1.18367,0.0,1.17512,283.99999999999534,571.0000000000103,8.51999999999986,0.03,19.999999999997797,0.0014249999999999818,2.0105633802817597,0.0,0.0,0,1.18367,1.17512,0.0,,,open deal
CLOSE,2026.02.04 06:58:38,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,33,32,33,EURUSD,EURUSD,PERIOD_H1,FAT Trend Sell,trend,sell,1.18083,1.18367,1.17512,1.18368,1.18368,0.0,0.0,0.0,0.0,283.99999999999534,571.0000000000103,8.51999999999986,0.03,19.999999999997797,0.0014249999999999818,2.0105633802817597,0.0,-8.49,86318,1.18367,1.17512,-0.9964788732394531,sl 1.18367,INITIAL_SL_LOSS,sl close with negative profit
OPEN,2026.02.04 07:00:00,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,34,34,34,EURUSD,EURUSD,PERIOD_H1,FAT Breakout Buy,breakout,buy,1.18366,1.18122,1.1875,1.18366,0.0,0.0,1.18122,0.0,1.1875,243.99999999999974,384.00000000000654,9.75999999999999,0.04,19.999999999997797,0.0012471428571428948,1.573770491803307,0.0,0.0,0,1.18122,1.1875,0.0,,,open deal
CLOSE,2026.02.04 11:48:29,run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample,ForexAiTrade_run_20260621_205032_EURUSD_H1_EXIT_NO_TRAILING_10000_out_of_sample.log,35,34,35,EURUSD,EURUSD,PERIOD_H1,FAT Breakout Buy,breakout,buy,1.18366,1.18122,1.1875,1.1812,1.1812,0.0,0.0,0.0,0.0,243.99999999999974,384.00000000000654,9.75999999999999,0.04,19.999999999997797,0.0012471428571428948,1.573770491803307,0.0,-9.84,17309,1.18122,1.1875,-1.0081967213114764,sl 1.18122,INITIAL_SL_LOSS,sl close with negative profit
